iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations
CAN,2021-02-28,0.053525244788081974,0.03863324000981975,0.014892004778262226,0.0015830723692859794
CAN,2021-03-01,0.05520274215409541,0.03993593055493903,0.015266811599156388,0.0015725491870132585
CAN,2021-03-02,0.05724605483485624,0.04169659226171693,0.015549462573139309,0.0016685058598666677
CAN,2021-03-03,0.05932975838234579,0.04360378431787726,0.01572597406446853,0.0017794105571344269
CAN,2021-03-04,0.061534152335685544,0.045681814990826256,0.01585233734485929,0.0018556823553321263
CAN,2021-03-05,0.06396659584555542,0.048026640953417334,0.015939954892138092,0.001930677756758202
CAN,2021-03-06,0.06607826666452989,0.050074605391301416,0.01600366127322847,0.0019822158219591018
CAN,2021-03-07,0.06771111850790919,0.05166485394688119,0.016046264561028003,0.0020265493364935027
CAN,2021-03-08,0.070169713969411,0.05384312431296171,0.0163265896564493,0.002138134778706128
CAN,2021-03-09,0.07213777596939144,0.055713896514571704,0.016423879454819736,0.002127384681451785
CAN,2021-03-10,0.07435121815762337,0.057801088879903685,0.016550129277719684,0.0021459349811993847
CAN,2021-03-11,0.07713172088492871,0.06046336890178396,0.016668351983144754,0.002228220026410067
CAN,2021-03-12,0.08027582650591064,0.06352172902408547,0.016754097481825173,0.0023298779381767296
CAN,2021-03-13,0.08322126806048248,0.0663918064403861,0.016829461620096384,0.002449008303528287
CAN,2021-03-14,0.08584945410637405,0.06896320701212676,0.016886247094247294,0.002591198903887181
CAN,2021-03-15,0.08938478952004503,0.07234012740425287,0.017044662115792163,0.002745018897054204
CAN,2021-03-16,0.09278862770186605,0.07563042300214477,0.017158204699721277,0.0029501216760678016
CAN,2021-03-17,0.09672239745889258,0.07941811623975213,0.01730428121914045,0.0031958706011644424
CAN,2021-03-18,0.10115665657225917,0.08369325122225628,0.017463405350002886,0.0034321458257783647
CAN,2021-03-19,0.10577959549284445,0.08814827305644127,0.017631322436403175,0.0036434036736684595
CAN,2021-03-20,0.10956263697332856,0.09180046968564759,0.01776216728768097,0.003763044597728666
CAN,2021-03-21,0.11216081351290061,0.09429250674256595,0.017868306770334668,0.0037587615774505507
CAN,2021-03-22,0.11630975540125021,0.09834058492158457,0.01796917047966565,0.003846435853474756
CAN,2021-03-23,0.1197904610330957,0.10171024403429876,0.018080216998796927,0.003857412865710721
CAN,2021-03-24,0.12462953647367594,0.10640908601623662,0.01822045045743933,0.003986726040862566
CAN,2021-03-25,0.13002086625077877,0.11161264364604723,0.018408222604731544,0.004123470681662533
CAN,2021-03-26,0.13617539620419455,0.11753174930603016,0.018643646898164386,0.004342245088318856
CAN,2021-03-27,0.1408999363078011,0.12210414291445915,0.018795793393341947,0.0044767489436753054
CAN,2021-03-28,0.14505355831764666,0.12614493144969316,0.01890862686795349,0.004698955439428662
CAN,2021-03-29,0.15036617696049934,0.1312992485284918,0.019066928432007548,0.00486519902783949
CAN,2021-03-30,0.1551781927895212,0.13590548083355516,0.019272711955966013,0.00505538214681144
CAN,2021-03-31,0.16140405914028438,0.14194683693988697,0.019457222200397414,0.005253507290140161
CAN,2021-04-01,0.16726030935035802,0.14751507530953686,0.019745234040821156,0.005319908286637303
CAN,2021-04-02,0.17180555825411045,0.15194547686821586,0.019860081385894596,0.0050900150458815
CAN,2021-04-03,0.17750432946693842,0.1575244936994928,0.019979835767445615,0.005229199022733903
CAN,2021-04-04,0.1807409029429313,0.16076095371799487,0.019979949224936424,0.005098183985219893
CAN,2021-04-05,0.18593949680751895,0.16556077286675452,0.020378723940764412,0.005081902835288513
CAN,2021-04-06,0.19170393154315377,0.17097076640109576,0.020733165142058,0.005217966731143614
CAN,2021-04-07,0.19827104966190376,0.17709230858905825,0.021178741072845522,0.005266725087819644
CAN,2021-04-08,0.20571431488906908,0.1840516776179146,0.02166263727115447,0.005493441518832738
CAN,2021-04-09,0.21469904195076542,0.19256348549353797,0.022135556457227448,0.006127640528093564
CAN,2021-04-10,0.22166042485008366,0.19913383715077607,0.022526587699307585,0.006308009574110362
CAN,2021-04-11,0.22680498458467255,0.2041910629818132,0.022613921602859355,0.006580591195783806
CAN,2021-04-12,0.23630069582060895,0.21316503994625519,0.02313565587435377,0.007194452949816759
CAN,2021-04-13,0.24397135822373223,0.22045539284017995,0.023515965383552266,0.007466779292135879
CAN,2021-04-14,0.25241072349147275,0.22856757506879424,0.02384314842267851,0.007734226962350124
CAN,2021-04-15,0.2611027585912494,0.2368629627806956,0.02423979581055379,0.007912638866650433
CAN,2021-04-16,0.2701914127145286,0.24511696687282367,0.02507444584170496,0.007927473433573973
CAN,2021-04-17,0.27740098387499595,0.2516444315985352,0.025756552276460735,0.007962928899452411
CAN,2021-04-18,0.28309419567077415,0.25719145341740346,0.025902742253370716,0.008041328025602817
