iso_code,date,unemployment_rate_idx
ARE,2020-03-31,-0.07000000000000028
ARE,2020-04-01,-0.06714285714285742
ARE,2020-04-02,-0.06428571428571457
ARE,2020-04-03,-0.06142857142857171
ARE,2020-04-04,-0.058571428571428844
ARE,2020-04-05,-0.05571428571428599
ARE,2020-04-06,-0.05285714285714313
ARE,2020-04-07,-0.050000000000000266
ARE,2020-04-08,-0.0471428571428574
ARE,2020-04-09,-0.044285714285714546
ARE,2020-04-10,-0.04142857142857169
ARE,2020-04-11,-0.038571428571428826
ARE,2020-04-12,-0.03571428571428597
ARE,2020-04-13,-0.032857142857143105
ARE,2020-04-14,-0.03000000000000025
ARE,2020-04-15,-0.027142857142857385
ARE,2020-04-16,-0.02428571428571453
ARE,2020-04-17,-0.02142857142857167
ARE,2020-04-18,-0.018571428571428808
ARE,2020-04-19,-0.01571428571428595
ARE,2020-04-20,-0.012857142857143088
ARE,2020-04-21,-0.010000000000000231
ARE,2020-04-22,-0.007142857142857367
ARE,2020-04-23,-0.004285714285714504
ARE,2020-04-24,-0.0014285714285716539
ARE,2020-04-25,0.0014285714285712098
ARE,2020-04-26,0.004285714285714073
ARE,2020-04-27,0.007142857142856923
ARE,2020-04-28,0.009999999999999787
ARE,2020-04-29,0.01285714285714265
ARE,2020-04-30,0.015714285714285514
ARE,2020-05-01,0.018571428571428364
ARE,2020-05-02,0.021428571428571228
ARE,2020-05-03,0.02428571428571409
ARE,2020-05-04,0.02714285714285694
ARE,2020-05-05,0.029999999999999805
ARE,2020-05-06,0.03285714285714267
ARE,2020-05-07,0.03571428571428553
ARE,2020-05-08,0.03857142857142838
ARE,2020-05-09,0.041428571428571245
ARE,2020-05-10,0.04428571428571411
ARE,2020-05-11,0.04714285714285696
ARE,2020-05-12,0.04999999999999982
ARE,2020-05-13,0.052857142857142686
ARE,2020-05-14,0.05571428571428555
ARE,2020-05-15,0.05857142857142841
ARE,2020-05-16,0.06142857142857128
ARE,2020-05-17,0.06428571428571411
ARE,2020-05-18,0.06714285714285698
ARE,2020-05-19,0.06999999999999984
ARE,2020-05-20,0.0728571428571427
ARE,2020-05-21,0.07571428571428557
ARE,2020-05-22,0.07857142857142843
ARE,2020-05-23,0.0814285714285713
ARE,2020-05-24,0.08428571428571413
ARE,2020-05-25,0.087142857142857
ARE,2020-05-26,0.08999999999999986
ARE,2020-05-27,0.09285714285714272
ARE,2020-05-28,0.09571428571428559
ARE,2020-05-29,0.09857142857142845
ARE,2020-05-30,0.10142857142857131
ARE,2020-05-31,0.10428571428571415
ARE,2020-06-01,0.10714285714285701
ARE,2020-06-02,0.10999999999999988
ARE,2020-06-03,0.11285714285714274
ARE,2020-06-04,0.1157142857142856
ARE,2020-06-05,0.11857142857142847
ARE,2020-06-06,0.12142857142857133
ARE,2020-06-07,0.12428571428571417
ARE,2020-06-08,0.12714285714285703
ARE,2020-06-09,0.1299999999999999
ARE,2020-06-10,0.13285714285714276
ARE,2020-06-11,0.13571428571428562
ARE,2020-06-12,0.13857142857142848
ARE,2020-06-13,0.14142857142857135
ARE,2020-06-14,0.14428571428571418
ARE,2020-06-15,0.14714285714285705
ARE,2020-06-16,0.1499999999999999
ARE,2020-06-17,0.15285714285714277
ARE,2020-06-18,0.15571428571428564
ARE,2020-06-19,0.1585714285714285
ARE,2020-06-20,0.16142857142857137
ARE,2020-06-21,0.1642857142857142
ARE,2020-06-22,0.16714285714285707
ARE,2020-06-23,0.16999999999999993
ARE,2020-06-24,0.1728571428571428
ARE,2020-06-25,0.17571428571428566
ARE,2020-06-26,0.17857142857142852
ARE,2020-06-27,0.18142857142857138
ARE,2020-06-28,0.18428571428571422
ARE,2020-06-29,0.1871428571428571
ARE,2020-06-30,0.18999999999999995
ARE,2020-07-01,0.18923913043478255
ARE,2020-07-02,0.18847826086956515
ARE,2020-07-03,0.18771739130434775
ARE,2020-07-04,0.18695652173913038
ARE,2020-07-05,0.18619565217391298
ARE,2020-07-06,0.1854347826086956
ARE,2020-07-07,0.1846739130434782
ARE,2020-07-08,0.1839130434782608
ARE,2020-07-09,0.1831521739130434
ARE,2020-07-10,0.182391304347826
ARE,2020-07-11,0.1816304347826086
ARE,2020-07-12,0.18086956521739123
ARE,2020-07-13,0.18010869565217383
ARE,2020-07-14,0.17934782608695643
ARE,2020-07-15,0.17858695652173903
ARE,2020-07-16,0.17782608695652163
ARE,2020-07-17,0.17706521739130424
ARE,2020-07-18,0.17630434782608684
ARE,2020-07-19,0.17554347826086944
ARE,2020-07-20,0.17478260869565207
ARE,2020-07-21,0.17402173913043467
ARE,2020-07-22,0.17326086956521727
ARE,2020-07-23,0.17249999999999988
ARE,2020-07-24,0.17173913043478248
ARE,2020-07-25,0.17097826086956508
ARE,2020-07-26,0.17021739130434768
ARE,2020-07-27,0.16945652173913028
ARE,2020-07-28,0.1686956521739129
ARE,2020-07-29,0.16793478260869552
ARE,2020-07-30,0.16717391304347812
ARE,2020-07-31,0.16641304347826072
ARE,2020-08-01,0.16565217391304332
ARE,2020-08-02,0.16489130434782592
ARE,2020-08-03,0.16413043478260853
ARE,2020-08-04,0.16336956521739115
ARE,2020-08-05,0.16260869565217376
ARE,2020-08-06,0.16184782608695636
ARE,2020-08-07,0.16108695652173896
ARE,2020-08-08,0.16032608695652156
ARE,2020-08-09,0.15956521739130416
ARE,2020-08-10,0.15880434782608677
ARE,2020-08-11,0.1580434782608694
ARE,2020-08-12,0.15728260869565197
ARE,2020-08-13,0.1565217391304346
ARE,2020-08-14,0.1557608695652172
